event_id,user_id,platform,event_type,likes,comments,shares,sentiment,country,age_group,timestamp
1,user1,facebook,post,150,25,8,0.75,France,25-34,2024-01-15 10:30:00
2,user2,instagram,story,200,35,12,0.82,USA,18-24,2024-01-15 10:35:00
3,user3,twitter,tweet,50,10,5,0.45,UK,35-44,2024-01-15 10:40:00
4,user4,facebook,comment,30,5,2,0.65,France,25-34,2024-01-15 10:45:00
5,user5,instagram,video,500,100,50,0.88,Germany,18-24,2024-01-15 10:50:00
6,user1,twitter,retweet,80,15,8,0.55,France,25-34,2024-01-15 10:55:00
7,user2,facebook,share,120,20,10,0.72,USA,35-44,2024-01-15 11:00:00
8,user3,instagram,like,100,0,0,0.80,UK,45-54,2024-01-15 11:05:00
9,user4,twitter,reply,45,8,0,0.50,France,18-24,2024-01-15 11:10:00
10,user5,facebook,post,250,45,20,0.85,Germany,25-34,2024-01-15 11:15:00
11,user1,instagram,story,180,30,15,0.78,France,35-44,2024-01-15 11:20:00
12,user2,twitter,tweet,90,18,6,0.60,USA,45-54,2024-01-15 11:25:00
13,user3,facebook,comment,60,12,3,0.70,UK,25-34,2024-01-15 11:30:00
14,user4,instagram,video,600,120,60,0.90,France,18-24,2024-01-15 11:35:00
15,user5,twitter,retweet,110,22,10,0.65,Germany,35-44,2024-01-15 11:40:00
16,user1,facebook,like,40,0,0,0.55,France,45-54,2024-01-15 11:45:00
17,user2,instagram,post,280,50,25,0.86,USA,25-34,2024-01-15 11:50:00
18,user3,twitter,reply,70,14,2,0.58,UK,18-24,2024-01-15 11:55:00
19,user4,facebook,share,130,25,12,0.75,France,35-44,2024-01-15 12:00:00
20,user5,instagram,story,220,40,18,0.82,Germany,45-54,2024-01-15 12:05:00
21,user1,twitter,tweet,100,20,8,0.62,France,25-34,2024-01-15 12:10:00
22,user2,facebook,post,170,32,14,0.80,USA,18-24,2024-01-15 12:15:00
23,user3,instagram,video,380,70,35,0.84,UK,35-44,2024-01-15 12:20:00
24,user4,twitter,retweet,95,19,7,0.63,France,45-54,2024-01-15 12:25:00
25,user5,facebook,comment,75,14,4,0.72,Germany,25-34,2024-01-15 12:30:00
26,user1,instagram,like,150,0,0,0.77,France,18-24,2024-01-15 12:35:00
27,user2,twitter,reply,55,11,1,0.52,USA,35-44,2024-01-15 12:40:00
28,user3,facebook,share,140,28,13,0.76,UK,45-54,2024-01-15 12:45:00
29,user4,instagram,post,320,60,28,0.87,France,25-34,2024-01-15 12:50:00
30,user5,twitter,tweet,120,24,10,0.68,Germany,18-24,2024-01-15 12:55:00
31,user1,facebook,story,190,35,16,0.81,France,35-44,2024-01-15 13:00:00
32,user2,instagram,video,450,85,40,0.89,USA,45-54,2024-01-15 13:05:00
33,user3,twitter,retweet,105,21,9,0.64,UK,25-34,2024-01-15 13:10:00
34,user4,facebook,like,50,0,0,0.60,France,18-24,2024-01-15 13:15:00
35,user5,instagram,comment,95,18,5,0.73,Germany,35-44,2024-01-15 13:20:00
36,user1,twitter,reply,65,13,3,0.56,France,45-54,2024-01-15 13:25:00
37,user2,facebook,post,200,38,17,0.83,USA,25-34,2024-01-15 13:30:00
38,user3,instagram,story,250,45,22,0.85,UK,18-24,2024-01-15 13:35:00
39,user4,twitter,tweet,130,26,11,0.70,France,35-44,2024-01-15 13:40:00
40,user5,facebook,share,160,32,15,0.79,Germany,45-54,2024-01-15 13:45:00
41,user1,instagram,video,520,95,45,0.91,France,25-34,2024-01-15 13:50:00
42,user2,twitter,retweet,115,23,11,0.67,USA,18-24,2024-01-15 13:55:00
43,user3,facebook,comment,85,17,6,0.74,UK,35-44,2024-01-15 14:00:00
44,user4,instagram,like,170,0,0,0.78,France,45-54,2024-01-15 14:05:00
45,user5,twitter,reply,75,15,4,0.59,Germany,25-34,2024-01-15 14:10:00
46,user1,facebook,post,220,42,19,0.84,France,18-24,2024-01-15 14:15:00
47,user2,instagram,comment,110,22,8,0.75,USA,35-44,2024-01-15 14:20:00
48,user3,twitter,tweet,140,28,12,0.71,UK,45-54,2024-01-15 14:25:00
49,user4,facebook,story,180,34,16,0.80,France,25-34,2024-01-15 14:30:00
50,user5,instagram,video,570,105,50,0.92,Germany,18-24,2024-01-15 14:35:00
